old_env,new_env,old_house,new_house
-4.71,-4.97,-1.7360057646601077,-1.7983309582331868
-4.97,-4.87,-1.7983309582331868,-1.7526177683016948
-4.87,-5.08,-1.7526177683016948,-1.8241113539743963
-5.08,-5.03,-1.8241113539743963,-1.7904995520875184
-5.03,-5.05,-1.7904995520875184,-1.8054086650707317
-5.05,-5.06,-1.8054086650707317,-1.804048595501038
-5.06,-5.19,-1.804048595501038,-1.8400954878752795
-5.19,-5.41,-1.8400954878752795,-1.8894190938287674
-5.41,-5.59,-1.8894190938287674,-1.9236893996098312
-5.59,-5.77,-1.9236893996098312,-1.9612013156201402
-5.77,-7.77,-1.9612013156201402,-2.4101449509064508
-7.77,-6.48,-2.4101449509064508,-2.0173881751149305
-6.48,-3.62,-2.0173881751149305,-1.2659430575207835
-3.62,-1.54,-1.2659430575207835,-0.5235044818138777
-1.54,-0.39,-0.5235044818138777,0.36538265122180835
-0.39,0.64,0.36538265122180835,0.5240394534557409
0.64,1.36,0.5240394534557409,0.9143087807432778
1.36,1.71,0.9143087807432778,0.8920152573004131
1.71,1.69,0.8920152573004131,0.8932999175526587
1.69,1.02,0.8932999175526587,0.3559495504244124
1.02,-0.92,0.3559495504244124,-1.12957936880257
-0.92,-1.68,-1.12957936880257,-0.7419033840045683
-1.68,-2.15,-0.7419033840045683,-1.1866324687937
-2.15,-2.49,-1.1866324687937,-1.1416512301076456
-2.49,-2.76,-1.1416512301076456,-1.2721433763111587
-2.76,-3.02,-1.2721433763111587,-1.322065287226331
-3.02,-3.2,-1.322065287226331,-1.3703775803674216
-3.2,-3.29,-1.3703775803674216,-1.3855043917767198
-3.29,-3.22,-1.3855043917767198,-1.354435531217075
-3.22,-3.16,-1.354435531217075,-1.343712941361705
-3.16,-3.14,-1.343712941361705,-1.34025634064469
-3.14,-3.04,-1.34025634064469,-1.3037421751846912
-3.04,-3.01,-1.3037421751846912,-1.30623804293678
-3.01,-3.03,-1.30623804293678,-1.3129211541685282
-3.03,-1.99,-1.3129211541685282,-0.822848008949084
-1.99,-1.46,-0.822848008949084,-0.798218009725987
-1.46,0.79,-0.798218009725987,1.2602452180928865
0.79,2.54,1.2602452180928865,1.1312624725973692
2.54,3.96,1.1312624725973692,1.6818851112375752
3.96,5.04,1.6818851112375752,1.8325159995924798
5.04,5.64,1.8325159995924798,1.9512775303394234
5.64,5.95,1.9512775303394234,1.9996805919097622
5.95,5.82,1.9996805919097622,1.9545637385591288
5.82,4.71,1.9545637385591288,1.659950680424232
4.71,2.91,1.659950680424232,1.1180560449171446
2.91,2.13,1.1180560449171446,1.0059542509890076
2.13,1.71,1.0059542509890076,0.8390743405747744
1.71,1.48,0.8390743405747744,0.8005783281011456
1.48,1.32,0.8005783281011456,0.7207091451472324
1.32,1.24,0.7207091451472324,0.72061838364891
1.24,1.21,0.72061838364891,0.6995581579476363
